transactionId,userId,amount,timestamp,merchant,location,type,is_fraud
tx_0,user_41,2632.69,2025-02-02 07:22:36.676115,Netflix,"Melbourne, Australia",offline,1
tx_1,user_105,4265.13,2025-02-02 07:22:36.676115,eBay,"Boston, USA",online,0
tx_2,user_1,3208.02,2025-02-02 07:22:36.676115,Burger King,"San Francisco, USA",online,0
tx_3,user_12,4512.33,2025-02-02 07:22:36.676115,IKEA,"Houston, USA",offline,1
tx_4,user_384,3746.82,2025-02-02 07:22:36.676115,Amazon,"London, UK",online,0
tx_5,user_84,397.45,2025-02-02 07:22:36.676115,Nike,"Shanghai, China",online,0
tx_6,user_112,2473.59,2025-02-02 07:22:36.676115,Uber,"Paris, France",offline,1
tx_7,user_435,1687.08,2025-02-02 07:22:36.676115,Starbucks,"New York, USA",offline,1
tx_8,user_151,278.77,2025-02-02 07:22:36.676115,H&M,"Shanghai, China",offline,1
tx_9,user_2,2598.38,2025-02-02 07:22:36.676115,Adidas,"Vancouver, Canada",online,0
tx_10,user_178,1290.25,2025-02-02 07:22:36.676115,Apple,"Miami, USA",online,0
tx_11,user_103,2006.55,2025-02-02 07:22:36.676115,Lyft,"Dubai, UAE",online,0
tx_12,user_135,2983.43,2025-02-02 07:22:36.676115,Apple,"Chicago, USA",online,0
tx_13,user_194,1047.17,2025-02-02 07:22:36.676115,Disney+,"Toronto, Canada",offline,1
tx_14,user_178,1335.36,2025-02-02 07:22:36.676115,Netflix,"Mexico City, Mexico",offline,1
tx_15,user_170,4331.48,2025-02-02 07:22:36.676115,Adidas,"Toronto, Canada",offline,1
tx_16,user_460,1275.94,2025-02-02 07:22:36.676115,Adidas,"Chicago, USA",offline,1
tx_17,user_221,1133.86,2025-02-02 07:22:36.676115,Target,"Singapore, Singapore",offline,1
tx_18,user_183,1485.09,2025-02-02 07:22:36.676115,Amazon,"Vancouver, Canada",offline,1
tx_19,user_391,2126.83,2025-02-02 07:22:36.676115,Adidas,"Seattle, USA",online,0
tx_20,user_82,3850.66,2025-02-02 07:22:36.676115,Adidas,"Toronto, Canada",online,0
tx_21,user_153,3648.36,2025-02-02 07:22:36.676115,Zara,"São Paulo, Brazil",offline,1
tx_22,user_218,4084.64,2025-02-02 07:22:36.676115,Apple,"Sydney, Australia",online,0
tx_23,user_212,3103.01,2025-02-02 07:22:36.676115,McDonald's,"Kyiv, Ukraine",online,0
tx_24,user_353,1865.05,2025-02-02 07:22:36.676115,Uber,"San Francisco, USA",offline,1
tx_25,user_296,1727.48,2025-02-02 07:22:36.676115,PlayStation Store,"Beijing, China",online,0
tx_26,user_430,1971.25,2025-02-02 07:22:36.676115,Hulu,"Houston, USA",online,0
tx_27,user_355,3849.9,2025-02-02 07:22:36.676115,Google Play,"Manchester, UK",online,0
tx_28,user_84,2651.13,2025-02-02 07:22:36.676115,BestBuy,"Dubai, UAE",online,0
tx_29,user_111,4703.37,2025-02-02 07:22:36.676115,Target,"Osaka, Japan",online,0
tx_30,user_282,538.08,2025-02-02 07:22:36.676115,Google Play,"Miami, USA",offline,1
tx_31,user_210,3606.35,2025-02-02 07:22:36.676115,McDonald's,"Mexico City, Mexico",online,0
tx_32,user_478,3715.28,2025-02-02 07:22:36.676115,Microsoft Store,"São Paulo, Brazil",online,0
tx_33,user_442,2101.79,2025-02-02 07:22:36.676115,Sephora,"Singapore, Singapore",online,0
tx_34,user_278,4628.64,2025-02-02 07:22:36.677129,eBay,"Rome, Italy",offline,1
tx_35,user_9,4930.41,2025-02-02 07:22:36.677129,McDonald's,"Paris, France",online,0
tx_36,user_126,3822.09,2025-02-02 07:22:36.677129,Zara,"Paris, France",online,0
tx_37,user_328,3839.6,2025-02-02 07:22:36.677129,Nike,"Osaka, Japan",offline,1
